index,hospital_name,city,state,hospital_type,beds,rating,nabh,specialties,address,latitude,longitude,disease,treatment,treatment_cost_inr,beds_for_specific_disease,patients_on_disease_beds,patients_treated_well,patients_not_treated_well
9101,Coimbatore Trust Hospital 1482,Coimbatore,Tamil Nadu,Trust,757,3.7,Yes,General Medicine,"Coimbatore, India",10.9942,76.9688,Acute kidney injury,"Hospitalisation with fluid management, dialysis support if needed",98100,26,23,19,4
9102,Delhi Private Hospital 1483,Delhi,Delhi,Private,1194,4.1,Yes,General Medicine,"Delhi, India",28.6364,77.2006,Urinary tract infection (UTI),Antibiotic therapy with hydration and hygiene counselling,1100,139,77,63,14
9103,Hyderabad Government Hospital 1484,Hyderabad,Telangana,Government,126,3.9,Yes,Cardiology,"Hyderabad, India",17.4122,78.5033,Kidney infection,Antibiotic therapy with hydration and monitoring,8100,3,3,3,0
9104,Indore Trust Hospital 1485,Indore,Madhya Pradesh,Trust,1199,3.8,Yes,Oncology,"Indore, India",22.7237,75.8437,Glomerulonephritis,Immunosuppressive therapy with renal function monitoring,58500,64,57,47,10
9105,Kolkata Private Hospital 1486,Kolkata,West Bengal,Private,144,3.6,No,Nephrology,"Kolkata, India",22.533,88.3677,Nephrotic syndrome,Immunosuppressive therapy with renal monitoring,38500,6,4,4,0
9106,Mangaluru Government Hospital 1487,Mangaluru,Karnataka,Government,1126,4,No,General Medicine,"Mangaluru, India",12.9295,74.8808,Prostate enlargement,Medication with surgical management (TURP) if indicated,6300,90,52,46,6
9107,Mumbai Trust Hospital 1488,Mumbai,Maharashtra,Trust,444,3.4,Yes,General Medicine,"Mumbai, India",19.072,72.842,Kidney cancer,Surgical resection with chemotherapy/targeted therapy as indicated,366900,30,22,19,3
9108,Pune Private Hospital 1489,Pune,Maharashtra,Private,975,4.2,No,General Medicine,"Pune, India",18.5544,73.8199,Asthma,Inhaled bronchodilators and corticosteroids with trigger management,11700,73,58,49,9
9109,Mysuru Government Hospital 1490,Mysuru,Karnataka,Government,929,3.9,No,General Medicine,"Mysuru, India",12.3364,76.6219,COPD,Inhaled bronchodilators/steroids with pulmonary rehabilitation,2900,99,76,63,13
9110,Ranchi Trust Hospital 1491,Ranchi,Jharkhand,Trust,909,4.4,Yes,General Medicine,"Ranchi, India",23.3099,85.3083,Bronchitis,Bronchodilators and antibiotics (if bacterial) with rest and hydration,3300,23,18,16,2
9111,Tiruchirappalli Private Hospital 1492,Tiruchirappalli,Tamil Nadu,Private,367,4.6,No,General Medicine,"Tiruchirappalli, India",10.8073,78.6718,Pulmonary fibrosis,Antifibrotic medication with pulmonary rehabilitation,180800,8,5,4,1
9112,Jaipur Government Hospital 1493,Jaipur,Rajasthan,Government,1080,4.5,No,General Medicine,"Jaipur, India",26.935,75.7547,Lung cancer,Surgery/chemotherapy/radiotherapy as per oncology protocol,151600,54,39,30,9
9113,Lucknow Trust Hospital 1494,Lucknow,Uttar Pradesh,Trust,523,3.9,No,General Medicine,"Lucknow, India",26.8643,80.9901,Sleep apnea,CPAP therapy with lifestyle modification,29700,56,44,37,7
9114,Kanpur Private Hospital 1495,Kanpur,Uttar Pradesh,Private,882,3.5,No,General Medicine,"Kanpur, India",26.4077,80.3616,Respiratory infections,Antibiotics/antivirals with supportive care,11400,70,44,35,9
9115,Nagpur Government Hospital 1496,Nagpur,Maharashtra,Government,914,3.6,Yes,Cardiology,"Nagpur, India",21.1679,79.0484,Pulmonary hypertension,Vasodilator therapy with cardiology/pulmonology follow-up,31600,108,89,85,4
9116,Surat Trust Hospital 1497,Surat,Gujarat,Trust,603,3.9,No,General Medicine,"Surat, India",21.1369,72.8157,Stroke,Emergency thrombolysis/clot management with rehabilitation,230700,34,21,20,1
9117,Vadodara Private Hospital 1498,Vadodara,Gujarat,Private,619,3.9,Yes,Nephrology,"Vadodara, India",22.3417,73.1403,Epilepsy,Anti-epileptic medication with neurology follow-up,7200,74,63,50,13
9118,Patna Government Hospital 1499,Patna,Bihar,Government,1129,4.3,Yes,General Medicine,"Patna, India",25.606,85.0952,Migraine,Analgesics/prophylactic medication with trigger management,2200,113,67,63,4
9119,Bhubaneswar Trust Hospital 1500,Bhubaneswar,Odisha,Trust,806,3.2,Yes,General Medicine,"Bhubaneswar, India",20.2565,85.7987,Parkinson's disease,Dopaminergic medication with physiotherapy and monitoring,7800,34,29,28,1
9120,Visakhapatnam Private Hospital 1501,Visakhapatnam,Andhra Pradesh,Private,657,4.3,No,General Medicine,"Visakhapatnam, India",17.687,83.1961,Alzheimer's disease,Cognitive-enhancing medication with long-term caregiving support,36500,29,25,24,1
9121,Vijayawada Government Hospital 1502,Vijayawada,Andhra Pradesh,Government,241,4.2,Yes,Cardiology,"Vijayawada, India",16.5168,80.6358,Dementia,Supportive medication with cognitive therapy and caregiver support,2300,6,5,5,0
9122,Kochi Trust Hospital 1503,Kochi,Kerala,Trust,937,3.6,Yes,Oncology,"Kochi, India",9.9357,76.2329,Multiple sclerosis,Disease-modifying therapy with neurology follow-up,64800,44,31,27,4
9123,Thiruvananthapuram Private Hospital 1504,Thiruvananthapuram,Kerala,Private,116,4.1,No,Nephrology,"Thiruvananthapuram, India",8.5246,76.898,Meningitis,Emergency antibiotic/antiviral therapy with intensive monitoring,52300,13,9,8,1
9124,Kozhikode Government Hospital 1505,Kozhikode,Kerala,Government,199,4.5,Yes,General Medicine,"Kozhikode, India",11.2263,75.7996,Encephalitis,Hospitalisation with antiviral/supportive neuro-critical care,22300,9,8,7,1
9125,Guwahati Trust Hospital 1506,Guwahati,Assam,Trust,885,4.2,No,General Medicine,"Guwahati, India",26.1443,91.7493,Neuropathy,Symptomatic medication with management of underlying cause,3900,48,34,30,4
9126,Amritsar Private Hospital 1507,Amritsar,Punjab,Private,956,3.3,No,General Medicine,"Amritsar, India",31.6393,74.8816,Brain tumor,Neurosurgical evaluation with tumour resection and adjuvant therapy,748000,91,74,61,13
9127,Ludhiana Government Hospital 1508,Ludhiana,Punjab,Government,628,3.7,Yes,General Medicine,"Ludhiana, India",30.865,75.8891,Appendicitis,Surgical appendectomy with post-operative care,40500,15,9,8,1
9128,Jalandhar Trust Hospital 1509,Jalandhar,Punjab,Trust,1074,4.2,Yes,General Medicine,"Jalandhar, India",31.3015,75.5486,Gastritis,Acid-suppressing medication with dietary modification,1400,115,91,76,15
9129,Dehradun Private Hospital 1510,Dehradun,Uttarakhand,Private,856,4.1,Yes,General Medicine,"Dehradun, India",30.3382,78.0664,Gastroenteritis,Rehydration therapy with dietary management,6100,41,28,24,4
9130,Noida Government Hospital 1511,Noida,Uttar Pradesh,Government,179,4.2,Yes,General Medicine,"Noida, India",28.5397,77.3497,Acid reflux (GERD),Proton-pump inhibitors with dietary and lifestyle modification,2800,12,11,10,1
9131,Gurugram Trust Hospital 1512,Gurugram,Haryana,Trust,869,4.2,Yes,General Medicine,"Gurugram, India",28.4443,77.046,Peptic ulcer,Acid-suppressing medication with H. pylori eradication if indicated,1700,28,20,19,1
9132,Nashik Private Hospital 1513,Nashik,Maharashtra,Private,130,3.7,Yes,General Medicine,"Nashik, India",19.9589,73.8197,Irritable bowel syndrome (IBS),Dietary modification with symptomatic medication,9400,5,3,3,0
9133,Rajkot Trust Hospital 1515,Rajkot,Gujarat,Trust,1102,4.6,Yes,General Medicine,"Rajkot, India",22.2874,70.7666,Inflammatory bowel disease (IBD),Anti-inflammatory/immunosuppressive therapy with dietary management,51200,107,77,63,14
9134,Madurai Private Hospital 1516,Madurai,Tamil Nadu,Private,869,4.2,Yes,Nephrology,"Madurai, India",9.947,78.1414,Crohn's disease,Anti-inflammatory/immunosuppressive therapy with dietary management,20400,86,63,52,11
9135,Varanasi Government Hospital 1517,Varanasi,Uttar Pradesh,Government,783,4,Yes,General Medicine,"Varanasi, India",25.3001,83.0133,Ulcerative colitis,Anti-inflammatory/immunosuppressive therapy with dietary management,11200,40,24,22,2
9136,Ahmedabad Trust Hospital 1518,Ahmedabad,Gujarat,Trust,967,4.2,Yes,General Medicine,"Ahmedabad, India",23.0621,72.5524,Gallstones,Laparoscopic cholecystectomy with post-operative recovery,59200,96,62,59,3
9137,Bengaluru Private Hospital 1519,Bengaluru,Karnataka,Private,1024,4.1,Yes,General Medicine,"Bengaluru, India",12.9486,77.5801,Pancreatitis,Hospitalisation with fluid management and dietary modification,111200,54,49,44,5
9138,Bhopal Government Hospital 1520,Bhopal,Madhya Pradesh,Government,685,4,Yes,Cardiology,"Bhopal, India",23.2304,77.3822,Fatty liver disease,Lifestyle modification with medical management of risk factors,2200,21,15,12,3
9139,Chandigarh Trust Hospital 1521,Chandigarh,Chandigarh,Trust,950,4.1,No,Oncology,"Chandigarh, India",30.7295,76.7869,Cirrhosis,Medical management of complications with liver-function monitoring,14800,50,29,27,2
9140,Chennai Private Hospital 1522,Chennai,Tamil Nadu,Private,835,3.9,Yes,Nephrology,"Chennai, India",13.1231,80.2647,Liver cancer,Surgical resection/transplant with chemotherapy as indicated,1375000,30,26,25,1
9141,Coimbatore Government Hospital 1523,Coimbatore,Tamil Nadu,Government,711,4.1,No,General Medicine,"Coimbatore, India",11.0578,76.9806,Colorectal cancer,Surgical resection with chemotherapy as per oncology protocol,105600,74,60,55,5
9142,Delhi Trust Hospital 1524,Delhi,Delhi,Trust,184,4.4,Yes,General Medicine,"Delhi, India",28.5998,77.2169,Breast cancer,Surgery with chemotherapy/radiotherapy as per oncology protocol,447300,17,14,13,1
9143,Hyderabad Private Hospital 1525,Hyderabad,Telangana,Private,787,4.1,No,General Medicine,"Hyderabad, India",17.3542,78.5256,Oral cancer,Surgical resection with radiotherapy/chemotherapy as indicated,192400,45,34,30,4
9144,Indore Government Hospital 1526,Indore,Madhya Pradesh,Government,574,4.2,Yes,General Medicine,"Indore, India",22.711,75.8809,Cervical cancer,Surgery/radiotherapy with chemotherapy as per oncology protocol,235700,24,16,15,1
9145,Kolkata Trust Hospital 1527,Kolkata,West Bengal,Trust,1021,4,No,General Medicine,"Kolkata, India",22.5486,88.3268,Prostate cancer,Surgery/radiotherapy with hormonal therapy as indicated,462300,49,33,30,3
9146,Mangaluru Private Hospital 1528,Mangaluru,Karnataka,Private,1114,4.1,No,General Medicine,"Mangaluru, India",12.9564,74.8961,Stomach cancer,Surgical resection with chemotherapy as per oncology protocol,419800,98,72,64,8
9147,Mumbai Government Hospital 1529,Mumbai,Maharashtra,Government,791,3.5,No,General Medicine,"Mumbai, India",19.1199,72.8797,Blood cancer,Chemotherapy protocol with haematology-oncology supervision,339900,94,77,70,7
9148,Pune Trust Hospital 1530,Pune,Maharashtra,Trust,954,4.2,No,General Medicine,"Pune, India",18.5371,73.8185,Leukemia,Chemotherapy protocol with haematology-oncology supervision,199300,114,97,77,20
9149,Mysuru Private Hospital 1531,Mysuru,Karnataka,Private,951,4.3,Yes,General Medicine,"Mysuru, India",12.3184,76.6123,Lymphoma,Chemotherapy/radiotherapy with haematology-oncology follow-up,302800,81,62,58,4
9150,Ranchi Government Hospital 1532,Ranchi,Jharkhand,Government,671,3.9,Yes,Cardiology,"Ranchi, India",23.3641,85.3446,Brain cancer,Neurosurgical resection with radiotherapy/chemotherapy follow-up,343600,79,74,69,5
9151,Tiruchirappalli Trust Hospital 1533,Tiruchirappalli,Tamil Nadu,Trust,846,3.9,No,General Medicine,"Tiruchirappalli, India",10.8109,78.7343,Ovarian cancer,Surgery with chemotherapy as per oncology protocol,201400,23,20,17,3
9152,Jaipur Private Hospital 1534,Jaipur,Rajasthan,Private,814,4.2,No,Nephrology,"Jaipur, India",26.9527,75.8118,Pancreatic cancer,Surgical/chemotherapy management as per oncology protocol,582200,82,47,40,7
9153,Lucknow Government Hospital 1535,Lucknow,Uttar Pradesh,Government,1139,4.1,Yes,General Medicine,"Lucknow, India",26.8628,80.9552,Thyroid cancer,Surgical resection with radioactive iodine therapy as indicated,132400,92,72,67,5
9154,Kanpur Trust Hospital 1536,Kanpur,Uttar Pradesh,Trust,1158,3.7,No,General Medicine,"Kanpur, India",26.4576,80.3735,Skin cancer,Surgical excision with follow-up dermatological oncology care,94600,119,107,84,23
9155,Nagpur Private Hospital 1537,Nagpur,Maharashtra,Private,107,4.1,No,General Medicine,"Nagpur, India",21.128,79.0892,Fracture,Reduction and immobilisation with surgical fixation if needed,68700,8,5,4,1
9156,Surat Government Hospital 1538,Surat,Gujarat,Government,397,4.5,No,Cardiology,"Surat, India",21.1843,72.7976,Osteoarthritis,Pain management and physiotherapy with joint replacement if severe,47400,32,29,27,2
9157,Vadodara Trust Hospital 1539,Vadodara,Gujarat,Trust,968,3.7,Yes,Oncology,"Vadodara, India",22.3453,73.139,Rheumatoid arthritis,Disease-modifying antirheumatic therapy with monitoring,49300,66,38,31,7
9158,Patna Private Hospital 1540,Patna,Bihar,Private,302,3.8,Yes,Nephrology,"Patna, India",25.565,85.1673,Osteoporosis,Calcium/vitamin D and bone-strengthening medication,3600,9,8,6,2
9159,Bhubaneswar Government Hospital 1541,Bhubaneswar,Odisha,Government,968,4.5,Yes,General Medicine,"Bhubaneswar, India",20.3404,85.7868,Gout,Anti-inflammatory medication with dietary and lifestyle management,4200,94,66,58,8
9160,Visakhapatnam Trust Hospital 1542,Visakhapatnam,Andhra Pradesh,Trust,639,3.9,Yes,General Medicine,"Visakhapatnam, India",17.6537,83.2413,Back pain,Physiotherapy with analgesics and posture correction,3800,39,27,22,5
9161,Vijayawada Private Hospital 1543,Vijayawada,Andhra Pradesh,Private,819,4.2,No,General Medicine,"Vijayawada, India",16.513,80.6338,Neck pain,Physiotherapy with analgesics and posture correction,13600,18,16,13,3
9162,Kochi Government Hospital 1544,Kochi,Kerala,Government,985,4.4,Yes,General Medicine,"Kochi, India",9.9621,76.2878,Scoliosis,Bracing with corrective surgery if severe,37100,111,87,80,7
9163,Thiruvananthapuram Trust Hospital 1545,Thiruvananthapuram,Kerala,Trust,328,3.3,No,General Medicine,"Thiruvananthapuram, India",8.5666,76.8974,Tendinitis,"Rest, physiotherapy and anti-inflammatory medication",5400,8,7,6,1
9164,Kozhikode Private Hospital 1546,Kozhikode,Kerala,Private,886,4.3,Yes,General Medicine,"Kozhikode, India",11.2361,75.7567,Sports injuries,"Physiotherapy with rest and, if needed, surgical repair",13600,63,40,38,2
9165,Guwahati Government Hospital 1547,Guwahati,Assam,Government,931,4.6,No,General Medicine,"Guwahati, India",26.1376,91.7217,Bone cancer,Surgical resection with chemotherapy/radiotherapy as indicated,317800,112,93,79,14
9166,Amritsar Trust Hospital 1548,Amritsar,Punjab,Trust,564,4.3,No,General Medicine,"Amritsar, India",31.6142,74.9135,Cataract,Phacoemulsification surgery with intraocular lens implant,19200,17,11,10,1
9167,Ludhiana Private Hospital 1549,Ludhiana,Punjab,Private,1050,3.8,Yes,General Medicine,"Ludhiana, India",30.8641,75.9013,Glaucoma,Pressure-lowering eye drops with laser/surgical management if needed,28800,69,52,44,8
9168,Jalandhar Government Hospital 1550,Jalandhar,Punjab,Government,497,4.3,No,Cardiology,"Jalandhar, India",31.352,75.5777,Conjunctivitis,Antibiotic/antiviral eye drops with hygiene counselling,1600,56,49,40,9
9169,Dehradun Trust Hospital 1551,Dehradun,Uttarakhand,Trust,150,4.3,Yes,General Medicine,"Dehradun, India",30.3018,78.0308,Macular degeneration,Anti-VEGF injections with regular ophthalmic monitoring,41800,10,6,6,0
9170,Noida Private Hospital 1552,Noida,Uttar Pradesh,Private,859,3.9,Yes,Nephrology,"Noida, India",28.5489,77.3782,Retinal detachment,Surgical repair with post-operative ophthalmic follow-up,102900,38,34,27,7
9171,Gurugram Government Hospital 1553,Gurugram,Haryana,Government,546,4.1,Yes,General Medicine,"Gurugram, India",28.4248,77.0473,Dry eye disease,Lubricating eye drops with lifestyle modification,2200,11,10,8,2
9172,Nashik Trust Hospital 1554,Nashik,Maharashtra,Trust,384,4,Yes,General Medicine,"Nashik, India",19.9675,73.7575,Corneal disease,Medical management with corneal transplant if indicated,73700,43,28,24,4
9173,Rajkot Government Hospital 1556,Rajkot,Gujarat,Government,402,3.9,Yes,Cardiology,"Rajkot, India",22.3365,70.8447,Refractive errors,Corrective lenses/refractive surgery as indicated,20100,34,30,27,3
9174,Madurai Trust Hospital 1557,Madurai,Tamil Nadu,Trust,994,4.3,Yes,Oncology,"Madurai, India",9.9484,78.0966,Blindness,Ophthalmic evaluation with corrective/surgical intervention where possible,85000,100,88,72,16
9175,Varanasi Private Hospital 1558,Varanasi,Uttar Pradesh,Private,125,4.5,Yes,Nephrology,"Varanasi, India",25.3508,82.9694,Acne,Topical retinoids/antibiotics with dermatology follow-up,3700,3,3,2,1
9176,Ahmedabad Government Hospital 1559,Ahmedabad,Gujarat,Government,291,4.1,Yes,General Medicine,"Ahmedabad, India",23.0504,72.6056,Eczema,Topical steroids/moisturisers with trigger avoidance,2900,12,8,7,1
9177,Bengaluru Trust Hospital 1560,Bengaluru,Karnataka,Trust,857,3.5,No,General Medicine,"Bengaluru, India",12.9634,77.6314,Psoriasis,Topical/systemic therapy with dermatology follow-up,2400,89,63,57,6
9178,Bhopal Private Hospital 1561,Bhopal,Madhya Pradesh,Private,790,4.6,No,General Medicine,"Bhopal, India",23.2998,77.4306,Dermatitis,Topical corticosteroids/emollients with trigger avoidance,1800,90,80,77,3
9179,Chandigarh Government Hospital 1562,Chandigarh,Chandigarh,Government,934,4.7,No,General Medicine,"Chandigarh, India",30.724,76.8128,Fungal infections,Topical/oral antifungal therapy with hygiene measures,700,67,48,39,9
9180,Chennai Trust Hospital 1563,Chennai,Tamil Nadu,Trust,700,4.8,Yes,General Medicine,"Chennai, India",13.0637,80.2471,Scabies,Topical scabicide with hygiene measures,500,75,57,55,2
9181,Coimbatore Private Hospital 1564,Coimbatore,Tamil Nadu,Private,581,4.2,No,General Medicine,"Coimbatore, India",10.9953,76.9828,Vitiligo,Topical therapy/phototherapy with dermatology follow-up,11100,41,32,28,4
9182,Delhi Government Hospital 1565,Delhi,Delhi,Government,1027,3.5,Yes,General Medicine,"Delhi, India",28.6267,77.2051,Urticaria,Antihistamines with allergen avoidance counselling,1200,54,50,44,6
9183,Hyderabad Trust Hospital 1566,Hyderabad,Telangana,Trust,331,4.2,Yes,General Medicine,"Hyderabad, India",17.3859,78.5275,Skin infections,Topical/oral antibiotics with wound care,4500,20,16,15,1
9184,Indore Private Hospital 1567,Indore,Madhya Pradesh,Private,583,4.4,No,General Medicine,"Indore, India",22.7044,75.8703,Anemia,Iron/vitamin supplementation with dietary correction and monitoring,6200,59,52,42,10
